run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
tb_run,Random,292,1,0,45,-92,80,80
tb_run,Random,293,1,0,69,-90,80,80
tb_run,Random,294,1,0,-41,-47,100,100
tb_run,Random,295,1,0,-93,121,0,0
tb_run,Random,296,1,0,79,-122,0,0
tb_run,Random,297,1,0,51,103,0,0
tb_run,Random,298,1,0,10,85,0,0
tb_run,Random,299,1,0,-87,-97,100,100
tb_run,Random,300,1,0,56,53,0,0
tb_run,Random,301,1,0,-41,-47,100,100
tb_run,Random,302,1,0,97,9,17,17
tb_run,Random,303,1,0,117,68,0,0
tb_run,Random,304,1,0,58,-73,80,80
tb_run,Random,305,1,0,-66,7,45,45
tb_run,Random,306,1,0,-13,-109,0,0
tb_run,Random,307,1,0,24,55,0,0
tb_run,Random,308,1,0,8,-47,60,60
tb_run,Random,309,1,0,-2,-122,0,0
tb_run,Random,310,1,0,6,-24,57,57
tb_run,Random,311,1,0,66,35,0,0
tb_run,Random,312,1,0,-79,-33,100,100
tb_run,Random,313,1,0,83,-39,80,80
tb_run,Random,314,1,0,41,122,0,0
tb_run,Random,315,1,0,-70,59,30,30
tb_run,Random,316,1,0,-59,13,30,30
tb_run,Random,317,1,0,-18,3,50,50
tb_run,Random,318,1,0,126,29,0,0
tb_run,Random,319,1,0,108,2,50,50
tb_run,Random,320,1,0,-45,-31,100,100
tb_run,Random,321,1,0,78,-35,80,80
tb_run,Random,322,1,0,97,-111,0,0
tb_run,Random,323,1,0,21,-125,0,0
tb_run,Random,324,1,0,13,-90,65,65
tb_run,Random,325,1,0,-41,-55,100,100
tb_run,Random,326,1,0,-99,29,30,30
tb_run,Random,327,1,0,-30,-88,100,100
tb_run,Random,328,1,0,-87,-122,0,0
tb_run,Random,329,1,0,-11,-123,0,0
tb_run,Random,330,1,0,31,-95,80,80
tb_run,Random,331,1,0,100,-3,50,50
tb_run,Random,332,1,0,-53,31,30,30
tb_run,Random,333,1,0,-4,11,44,44
tb_run,Random,334,1,0,-128,-42,0,0
tb_run,Random,335,1,0,67,28,0,0
tb_run,Random,336,1,0,-78,41,30,30
tb_run,Random,337,1,0,13,-82,70,70
tb_run,Random,338,1,0,-5,-75,62,62
tb_run,Random,339,1,0,23,115,0,0
tb_run,Random,340,1,0,44,11,0,0
tb_run,Random,341,1,0,-74,32,30,30
tb_run,Random,342,1,0,-51,109,0,0
tb_run,Random,343,1,0,125,-67,80,80
tb_run,Random,344,1,0,-103,47,30,30
tb_run,Random,345,1,0,4,-82,58,58
tb_run,Random,346,1,0,105,29,0,0
tb_run,Random,347,1,0,-72,103,0,0
tb_run,Random,348,1,0,87,-91,80,80
tb_run,Random,349,1,0,-50,117,0,0
tb_run,Random,350,1,0,26,47,0,0
tb_run,Random,351,1,0,-77,100,0,0
tb_run,Random,352,1,0,-5,-105,0,0
tb_run,Random,353,1,0,50,-43,80,80
tb_run,Random,354,1,0,-27,47,30,30
tb_run,Random,355,1,0,-104,13,30,30
tb_run,Random,356,1,0,126,26,0,0
tb_run,Random,357,1,0,-20,67,0,0
