run_id,source,case_id,idx,reg_mode,dt_mode,T_in,dT_in,alpha,k_dt,Tneg_a,Tneg_b,Tneg_c,Tneg_d,Tzero_a,Tzero_b,Tzero_c,Tzero_d,Tpos_a,Tpos_b,Tpos_c,Tpos_d,dTneg_a,dTneg_b,dTneg_c,dTneg_d,dTzero_a,dTzero_b,dTzero_c,dTzero_d,dTpos_a,dTpos_b,dTpos_c,dTpos_d,S_w,S_wg,G_exp,G_impl,valid_impl,tool_ver,git_rev,seed
tb_run,py,Grid_T=127_dT=30,68,0,0,127,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=127_dT=60,69,0,0,127,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=-60,0,1,0,-128,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=-30,1,1,0,-128,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=-10,2,1,0,-128,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=0,3,1,0,-128,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=10,4,1,0,-128,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=30,5,1,0,-128,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-128_dT=60,6,1,0,-128,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=-64_dT=-60,7,1,0,-64,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,26214,26213,100,100,1,PyTest,,0
